id,name,table,datatype,expression,format,folder,is_hidden,state,group,explanation,use_case
7887,1. CustomerCount,MeasureTable,Integer,DISTINCTCOUNT(Sales[CustomerID]),nan,nan,False,Valid,Customers,Distinct count of customers for reach/retention KPIs.,Customer base growth/retention; use in cohort or segmentation views.
324,1. SelectedCurrency,dimCurrency,Text,Selected Currency:  & SELECTEDVALUE(dimCurrency[symbol]),nan,nan,False,Valid,General / Utility,Helper showing the currency selected via slicer.,Dynamic currency switching; use to present KPIs in user‑selected currency.
8215,42. Sales Multicurrency,MeasureTable,Integer,"if(SELECTEDVALUE(dimCurrency[symbol]) = ""$"", [4. Sales], [41. Sales KZT])",nan,nan,False,Valid,General / Utility,KPI derived from the underlying Sales/Plan/Operations model.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
297,Max Date,Sales,Date,MAX('Calendar'[Date]),nan,nan,False,Valid,General / Utility,KPI derived from the underlying Sales/Plan/Operations model.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
318,1. ActualCost,Operations,Integer,SUM(Operations[Actual Cost]),nan,nan,False,Valid,Margin & Profitability,KPI derived from the underlying Sales/Plan/Operations model.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
320,3. % ActualCost,Operations,Number,[1. ActualCost]/[2. PlannedCost],nan,nan,False,Valid,Margin & Profitability,KPI derived from the underlying Sales/Plan/Operations model.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
321,4. NetProfit,Operations,Integer,[4. Sales]-[1. ActualCost]-[5. COGS],nan,nan,False,Valid,Margin & Profitability,"Net profit and its ratio considering sales, OPEX, and COGS.","General reporting; include in KPI tiles, tables, and time‑series visuals."
322,5. % Profit,Operations,Number,Operations[4. NetProfit]/[1.SalesTotal],nan,nan,False,Valid,Margin & Profitability,"Net profit and its ratio considering sales, OPEX, and COGS.","General reporting; include in KPI tiles, tables, and time‑series visuals."
8472,6. Margin,MeasureTable,Integer,[4. Sales] - [5. COGS],nan,nan,False,Valid,Margin & Profitability,Gross margin amount: Sales minus Cost of Goods Sold.,Profitability analysis by product/segment; use in waterfall or decomposition trees.
10346,988. Margin What-If,MeasureTable,Number,[987. Sales What-If] - [5. COGS],nan,nan,False,Valid,Margin & Profitability,Gross margin amount: Sales minus Cost of Goods Sold.,Profitability analysis by product/segment; use in waterfall or decomposition trees.
10412,Sales - OPEX,MeasureTable,Number,[1.SalesTotal]-SUM(OPEX[OPEX]),nan,nan,False,Valid,Margin & Profitability,KPI derived from the underlying Sales/Plan/Operations model.,Profitability analysis by product/segment; use in waterfall or decomposition trees.
8407,5. COGS,MeasureTable,Integer,"SUMX(Sales, Sales[Quantity] * Sales[Cost of goods])",nan,nan,False,Valid,Other,Cost of goods sold calculated from unit cost × quantity.,Profitability analysis by product/segment; use in waterfall or decomposition trees.
303,1. SalesPlan,SalesPlan,Integer,SUM(SalesPlan[SalesPlan]),nan,nan,False,Valid,Planning / Targets,Planned sales metrics for target vs actual comparisons.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
319,2. PlannedCost,Operations,Integer,SUM(Operations[Planned Cost]),nan,nan,False,Valid,Planning / Targets,KPI derived from the underlying Sales/Plan/Operations model.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
306,4. AverageSalesPlan,SalesPlan,Number,AVERAGE(SalesPlan[SalesPlan]),nan,nan,False,Valid,Planning / Targets,Planned sales metrics for target vs actual comparisons.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
307,41. PreviousMonthSalesPlan,SalesPlan,Integer,"CALCULATE([1. SalesPlan], PREVIOUSMONTH('Calendar'[Date]))",nan,nan,False,Valid,Planning / Targets,Sales in the previous calendar month.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
308,42. SalesPlanYTD,SalesPlan,Integer,"CALCULATE([1. SalesPlan], DATESYTD('Calendar'[Date]))",nan,nan,False,Valid,Planning / Targets,Year-to-date Sales using the Calendar date table.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
309,43. SalesPlanFYTD,SalesPlan,Integer,"CALCULATE([1. SalesPlan], DATESYTD('Calendar'[Date], ""6-30""))",nan,nan,False,Valid,Planning / Targets,Year-to-date Sales using the Calendar date table.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
310,44. SalesPlanSPLY,SalesPlan,Integer,"CALCULATE([1. SalesPlan], SAMEPERIODLASTYEAR('Calendar'[Date]))",nan,nan,False,Valid,Planning / Targets,Same period last year comparison for Sales.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
311,45. SalesPlan2MonthAgo,SalesPlan,Integer,"CALCULATE([1. SalesPlan], DATEADD('Calendar'[Date], -2, MONTH))",nan,nan,False,Valid,Planning / Targets,Planned sales metrics for target vs actual comparisons.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
312,46. SalesPlan%,SalesPlan,Number,[4. Sales]/[1. SalesPlan],nan,nan,False,Valid,Planning / Targets,Plan achievement: Actual Sales ÷ Sales Plan.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
313,47. SalesPlan KZT,SalesPlan,Integer,"SUMX(SalesPlan, SalesPlan[1. SalesPlan]* RELATED('Calendar'[KZT]))",nan,nan,False,Valid,Planning / Targets,Planned sales metrics for target vs actual comparisons.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
314,48. SalesPlan Multicurrency,SalesPlan,Integer,"IF(SELECTEDVALUE(dimCurrency[symbol]) = ""$"", [1. SalesPlan], [47. SalesPlan KZT])",nan,nan,False,Valid,Planning / Targets,Planned sales metrics for target vs actual comparisons.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
10619,989. SalesPlanAch,MeasureTable,Number,"DIVIDE(MeasureTable[1.SalesTotal],SalesPlan[1. SalesPlan],0)",nan,nan,False,Valid,Planning / Targets,Planned sales metrics for target vs actual comparisons.,Track performance versus monthly/annual plan; use on scorecards and pacing views.
315,1. Purchase Quantity,Purchases,Integer,SUM(Purchases[Quantity]),nan,nan,False,Valid,Purchases & Inventory,KPI derived from the underlying Sales/Plan/Operations model.,Stock approximation where no real inventory table exists; use for on‑hand estimates.
316,2. Кол-во закуплено накопительно,Purchases,Integer,"CALCULATE([1. Purchase Quantity], FILTER(ALL('Calendar'), 'Calendar'[Date] <= MAX('Calendar'[Date])))",nan,nan,False,Valid,Purchases & Inventory,KPI derived from the underlying Sales/Plan/Operations model.,Stock approximation where no real inventory table exists; use for on‑hand estimates.
317,3. Остатки,Purchases,Integer,[2. Кол-во закуплено накопительно] - [985. CumulativeSales],nan,nan,False,Valid,Purchases & Inventory,KPI derived from the underlying Sales/Plan/Operations model.,Stock approximation where no real inventory table exists; use for on‑hand estimates.
7952,1.SalesTotal,MeasureTable,Integer,"SUMX(Sales, Sales[Price $/each]*Sales[Quantity])",nan,nan,False,Valid,Sales (Actuals),KPI derived from the underlying Sales/Plan/Operations model.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
8018,2. SalesQuantity,MeasureTable,Integer,SUM(Sales[Quantity]),nan,nan,False,Valid,Sales (Actuals),KPI derived from the underlying Sales/Plan/Operations model.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
8084,4. Sales,MeasureTable,Integer,"SUMX(Sales, Sales[Price $/each] * Sales[Quantity])",nan,nan,False,Valid,Sales (Actuals),KPI derived from the underlying Sales/Plan/Operations model.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
8150,41. Sales KZT,MeasureTable,Integer,"SUMX(sales, Sales[Price $/each] * Sales[Quantity] * RELATED('Calendar'[KZT]))",nan,nan,False,Valid,Sales (Actuals),KPI derived from the underlying Sales/Plan/Operations model.,Dynamic currency switching; use to present KPIs in user‑selected currency.
8668,91. SalesPrevMonth,MeasureTable,Integer,"CALCULATE([4. Sales], PREVIOUSMONTH('Calendar'[Date]))",nan,nan,False,Valid,Sales (Actuals),Sales in the previous calendar month.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
8733,92. SalesSPLY,MeasureTable,Integer,"CALCULATE([4. Sales], SAMEPERIODLASTYEAR('Calendar'[Date]))",nan,nan,False,Valid,Sales (Actuals),Same period last year comparison for Sales.,YoY/period-over-period benchmarking; add to variance visuals.
8799,93. SalesYTD,MeasureTable,Integer,"CALCULATE([4. Sales], DATESYTD('Calendar'[Date]))",nan,nan,False,Valid,Sales (Actuals),Year-to-date Sales using the Calendar date table.,Monitor cumulative performance within the year; use in trend charts with date slicers.
8864,94. SalesFYTD,MeasureTable,Integer,"CALCULATE([4. Sales], DATESYTD('Calendar'[Date], ""6-30""))",nan,nan,False,Valid,Sales (Actuals),Year-to-date Sales using the Calendar date table.,Monitor cumulative performance within the year; use in trend charts with date slicers.
8929,95. Sales2MonthAgo,MeasureTable,Integer,"CALCULATE([4. Sales], DATEADD('Calendar'[Date], -2, MONTH))",nan,nan,False,Valid,Sales (Actuals),KPI derived from the underlying Sales/Plan/Operations model.,"General reporting; include in KPI tiles, tables, and time‑series visuals."
