Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
900001;01.01.2017; Purchase; Phone Type 4, HP;15;301;4515; B;10
900002;01.01.2017; Purchase; Desktop Type 4, HP;11;519;5709; B;10
900003;01.01.2017; Purchase; Desktop Type 3, Samsung;11;415;4565; B;10
900004;01.01.2017; Purchase; Desktop Type 1, HP;18;444;7992; B;10
900005;01.01.2017; Purchase; Smart Watch Type 1, Dell;17;100;1700; B;10
900006;01.01.2017; Purchase; Tablet Type 4, Dell;6;290;1740; B;10
900007;01.01.2017; Purchase; Smart Watch Type 3, HP;11;117;1287; C;10
900008;01.01.2017; Purchase; Phone Type 6, Dell;14;322;4508; C;10
900009;01.01.2017; Purchase; Memory Type 2, Huawei;6;16;96; C;10
900010;01.01.2017; Purchase; Desktop Type 3, HP;14;671;9394; C;10
900011;01.01.2017; Purchase; Keyboard Type 3, Samsung;15;58;870; C;10
900012;01.01.2017; Purchase; Mouse Type 7, HP;17;59;1003; C;10
900013;01.01.2017; Purchase; Phone Type 12, Dell;8;280;2240; C;10
900014;01.01.2017; Purchase; Monitor Type 1, Huawei;13;191;2483; C;10
900015;01.01.2017; Purchase; Mouse Type 2, HP;10;37;370; C;10
900016;01.01.2017; Purchase; Monitor Type 3, Dell;17;229;3893; C;10
900017;01.01.2017; Purchase; Mouse Type 5, Dell;20;61;1220; C;10
900018;01.01.2017; Purchase; Hard Drive Type 5, Dell;5;101;505; C;10
900019;01.01.2017; Purchase; Monitor Type 4, HP;5;268;1340; C;10
900020;01.01.2017; Purchase; Tablet Type 1, HP;16;201;3216; C;10
900021;01.01.2017; Purchase; Phone Type 12, Huawei;15;142;2130; C;10
900022;01.01.2017; Purchase; Microphone Type 1, Samsung;16;225;3600; C;10
900023;01.01.2017; Purchase; Speakers Type 6, Samsung;11;83;913; A;10
900024;01.01.2017; Purchase; Headphones Type 3, HP;6;68;408; A;10
900025;01.01.2017; Purchase; Laptop Type 3, Dell;8;1182;9456; A;10
900026;01.01.2017; Purchase; Headphones Type 4, Samsung;13;66;858; A;10
900027;01.01.2017; Purchase; Hard Drive Type 1, Samsung;11;105;1155; B;10
900028;01.01.2017; Purchase; Mouse Type 2, Dell;14;66;924; B;10
900029;01.01.2017; Purchase; Charger Type 1, Samsung;9;18;162; B;10
900030;01.01.2017; Purchase; Mouse Type 1, HP;5;53;265; B;10
900031;01.01.2017; Purchase; Monitor Type 4, Dell;10;154;1540; B;10
900032;01.01.2017; Purchase; Phone Type 10, Huawei;18;358;6444; C;10
900033;01.01.2017; Purchase; Phone Type 11, Huawei;10;493;4930; C;10
